DoctorID,DoctorName,DistinctPatients,TotalVisits
D003,Dr. Raj Joshi,308,308
D005,Dr. Karan Joshi,308,308
D006,Dr. Ritu Reddy,308,308
D008,Dr. Vikram Singh,308,308
D009,Dr. Rohan Singh,308,308
D011,Dr. Nisha Khan,308,308
D014,Dr. Manish Sharma,308,308
D016,Dr. Rohan Sharma,308,308
D019,Dr. Arjun Joshi,308,308
D021,Dr. Rohan Mehra,308,308
D022,Dr. Pooja Malhotra,308,308
D024,Dr. Karan Joshi,308,308
D025,Dr. Tanya Sharma,308,308
D027,Dr. Sneha Gupta,308,308
D029,Dr. Divya Verma,308,308
D030,Dr. Gaurav Joshi,308,308
D032,Dr. Sneha Verma,308,308
D035,Dr. Amit Singh,308,308
D037,Dr. Priya Malhotra,308,308
D038,Dr. Neha Patel,308,308
D040,Dr. Arjun Sharma,308,308
D041,Dr. Sneha Gupta,308,308
D043,Dr. Sneha Joshi,308,308
D045,Dr. Suresh Sharma,308,308
D048,Dr. Divya Gupta,308,308
D051,Dr. Ravi Patel,308,308
D053,Dr. Raj Khan,308,308
D054,Dr. Neha Singh,308,308
D056,Dr. Suresh Gupta,308,308
D057,Dr. Ritu Mehra,308,308
D059,Dr. Karan Khan,308,308
D061,Dr. Amit Reddy,308,308
D064,Dr. Karan Sharma,308,308
D067,Dr. Rohan Gupta,308,308
D069,Dr. Tanya Sharma,308,308
D070,Dr. Anita Verma,308,308
D072,Dr. Anita Singh,308,308
D073,Dr. Rohan Joshi,308,308
D077,Dr. Anita Khan,308,308
D080,Dr. Amit Verma,308,308
D083,Dr. Arjun Reddy,308,308
D085,Dr. Nisha Khan,308,308
D086,Dr. Raj Khan,308,308
D088,Dr. Amit Gupta,308,308
D089,Dr. Divya Patel,308,308
D093,Dr. Vikram Sharma,308,308
D096,Dr. Suresh Verma,308,308
D099,Dr. Ritu Malhotra,308,308
D101,Dr. Amit Gupta,308,308
D102,Dr. Manish Sharma,308,308
D105,Dr. Kavita Mehra,308,308
D109,Dr. Sneha Khan,308,308
D112,Dr. Arjun Patel,308,308
D113,Dr. Karan Gupta,308,308
D115,Dr. Gaurav Khan,308,308
D117,Dr. Gaurav Patel,308,308
D118,Dr. Vikram Joshi,308,308
D121,Dr. Anita Mehra,308,308
D125,Dr. Nisha Mehra,308,308
D128,Dr. Tanya Gupta,308,308
D129,Dr. Suresh Gupta,308,308
D131,Dr. Neha Verma,308,308
D134,Dr. Pooja Verma,308,308
D137,Dr. Karan Patel,308,308
D141,Dr. Neha Sharma,308,308
D142,Dr. Divya Mehra,308,308
D144,Dr. Tanya Joshi,308,308
D145,Dr. Raj Khan,308,308
D147,Dr. Manish Reddy,308,308
D150,Dr. Manish Mehra,308,308
D153,Dr. Rohan Sharma,308,308
D157,Dr. Priya Reddy,308,308
D158,Dr. Suresh Mehra,308,308
D160,Dr. Karan Mehra,308,308
D161,Dr. Sneha Singh,308,308
D163,Dr. Suresh Verma,308,308
D166,Dr. Amit Patel,308,308
D169,Dr. Suresh Singh,308,308
D171,Dr. Neha Patel,308,308
D173,Dr. Anita Gupta,308,308
D174,Dr. Ritu Singh,308,308
D176,Dr. Manish Sharma,308,308
D177,Dr. Raj Verma,308,308
D179,Dr. Neha Gupta,308,308
D182,Dr. Pooja Gupta,308,308
D185,Dr. Neha Sharma,308,308
D187,Dr. Suresh Sharma,308,308
D189,Dr. Meera Khan,308,308
D190,Dr. Divya Singh,308,308
D192,Dr. Rohan Sharma,308,308
D193,Dr. Suresh Singh,308,308
D195,Dr. Gaurav Mehra,308,308
D198,Dr. Rohan Gupta,308,308
D200,Dr. Raj Khan,308,308
D001,Dr. Anita Gupta,307,307
D013,Dr. Kavita Malhotra,307,307
D017,Dr. Priya Singh,307,307
D033,Dr. Gaurav Reddy,307,307
D046,Dr. Neha Reddy,307,307
D062,Dr. Priya Malhotra,307,307
D065,Dr. Nisha Patel,307,307
D075,Dr. Arjun Mehra,307,307
D081,Dr. Divya Verma,307,307
D091,Dr. Meera Sharma,307,307
D094,Dr. Arjun Malhotra,307,307
D097,Dr. Pooja Malhotra,307,307
D104,Dr. Neha Sharma,307,307
D110,Dr. Arjun Patel,307,307
D120,Dr. Nisha Mehra,307,307
D123,Dr. Tanya Mehra,307,307
D126,Dr. Priya Gupta,307,307
D133,Dr. Ravi Gupta,307,307
D139,Dr. Karan Khan,307,307
D149,Dr. Amit Singh,307,307
D155,Dr. Arjun Khan,307,307
D168,Dr. Meera Joshi,307,307
D184,Dr. Kavita Reddy,307,307
D197,Dr. Raj Mehra,307,307
D049,Dr. Meera Khan,306,306
D078,Dr. Kavita Mehra,306,306
D107,Dr. Tanya Reddy,306,306
D136,Dr. Rohan Reddy,306,306
D152,Dr. Karan Sharma,306,306
D165,Dr. Neha Gupta,306,306
D181,Dr. Tanya Reddy,306,306
D002,Dr. Vikram Patel,154,154
D004,Dr. Ritu Malhotra,154,154
D012,Dr. Manish Gupta,154,154
D015,Dr. Divya Joshi,154,154
D018,Dr. Sneha Verma,154,154
D026,Dr. Neha Joshi,154,154
D028,Dr. Sneha Patel,154,154
D031,Dr. Ritu Khan,154,154
D034,Dr. Arjun Mehra,154,154
D042,Dr. Vikram Singh,154,154
D044,Dr. Divya Patel,154,154
D047,Dr. Rohan Joshi,154,154
D050,Dr. Neha Malhotra,154,154
D055,Dr. Kavita Gupta,154,154
D058,Dr. Suresh Sharma,154,154
D060,Dr. Arjun Sharma,154,154
D063,Dr. Arjun Mehra,154,154
D066,Dr. Raj Gupta,154,154
D071,Dr. Vikram Singh,154,154
D074,Dr. Pooja Mehra,154,154
D076,Dr. Gaurav Mehra,154,154
D079,Dr. Divya Patel,154,154
D082,Dr. Sneha Reddy,154,154
D084,Dr. Amit Mehra,154,154
D087,Dr. Vikram Sharma,154,154
D090,Dr. Priya Malhotra,154,154
D092,Dr. Meera Reddy,154,154
D095,Dr. Vikram Singh,154,154
D098,Dr. Ravi Sharma,154,154
D100,Dr. Sneha Singh,154,154
D103,Dr. Neha Gupta,154,154
D106,Dr. Ritu Khan,154,154
D108,Dr. Kavita Khan,154,154
D111,Dr. Sneha Singh,154,154
D114,Dr. Ravi Gupta,154,154
D116,Dr. Gaurav Khan,154,154
D119,Dr. Kavita Joshi,154,154
D122,Dr. Karan Khan,154,154
